,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,load_centrality
MAS6,0.3709311127933384,4.7182466662784595e-29,1.5773676917797153e+94,0.0008702113360973563,5.7773698382987404e-05
MCACP,0.00757002271006813,4.7182466662784595e-29,0.002866481805177097,0.00013396242996867392,0.0028715646537266987
PPSC1,0.3792581377744133,4.7182466662784595e-29,2.2503531818562865e+93,0.0007257913223788076,5.669651969004753e-05
TESA8,0.1271763815291446,4.7182466662784595e-29,8.89683376297926e+47,0.00039550032677118196,0.0007407431205212171
PPSC2,0.3792581377744133,4.7182466662784595e-29,2.2503531818562865e+93,0.0007257913250653153,5.669651969004753e-05
PPSB4,0.19379258137774413,4.7182466662784595e-29,3.094589006977521e+93,0.0007529910025693533,2.5989440315889406e-05
DIMA,0.003785011355034065,4.7182466662784595e-29,0.0007294749156974744,0.000170100315128347,0.0007295419901499827
TESA2,0.1271763815291446,4.7182466662784595e-29,8.869434469140872e+47,0.0003968594449238849,0.001453013439150355
MAS9,0.3709311127933384,4.7182466662784595e-29,7.886838458898575e+93,0.0008698232020179871,5.7773698382987404e-05
MAS1,0.37017411052233157,4.7182466662784595e-29,7.886838459024468e+93,0.0008759596281791397,5.869627490198663e-05
MAS2,0.3716881150643452,4.7182466662784595e-29,3.1547353836006526e+94,0.0009834919496609622,5.417687773442209e-05
MAS4,0.3716881150643452,4.7182466662784595e-29,2.36605153770057e+94,0.0010303356204050735,5.417686014602043e-05
MAS7,0.3709311127933384,4.7182466662784595e-29,1.5773676917797153e+94,0.0008698238569431725,5.7773698382987404e-05
PPSA1,0.19303557910673733,4.7182466662784595e-29,3.938824832150179e+93,0.0009430843419080088,2.592733939019941e-05
PPTHIO4,0.008327024981074942,4.7182466662784595e-29,4.580995788602142e-06,0.0001342142387652613,5.4290217485698225e-06
PPTHIO5,0.003785011355034065,4.7182466662784595e-29,3.986880951092386e-06,0.00016306297031789396,7.227283622462171e-06
PPTHIO2,0.008327024981074942,4.7182466662784595e-29,0.0007174248393298086,0.00013427190694041306,0.000718272826946652
PPTHIO1,0.008327024981074942,4.7182466662784595e-29,5.154506034720048e-06,0.00013427190694041306,6.002508317514378e-06
PTHIO3,0.008327024981074942,4.7182466662784595e-29,4.581004037743888e-06,0.00013421423876563456,5.4290217485698225e-06
PTHIO2,0.008327024981074942,4.7182466662784595e-29,0.0007174248255804457,0.00013427190694078733,0.000718272826946652
MAS5,0.3709311127933384,4.7182466662784595e-29,2.366051537669573e+94,0.0008700993883623252,0.0036219948525699993
TESA7,0.1271763815291446,4.7182466662784595e-29,8.89683376297926e+47,0.00039550032677118175,0.0007407431205212171
TESA6,0.1271763815291446,4.7182466662784595e-29,8.869434469140872e+47,0.000396859444914534,0.001453013439150355
TESA5,0.1271763815291446,4.7182466662784595e-29,8.869434469140872e+47,0.00039685944491453377,0.0007407431205212171
TESA3,0.1271763815291446,4.7182466662784595e-29,8.89683376297926e+47,0.0003955003267805031,0.0007407431205212171
TESA1,0.1271763815291446,4.7182466662784595e-29,8.869434469140872e+47,0.00039685944492385514,0.0007407431205212171
FADD263,0.04844814534443603,4.7182466662784595e-29,6.830950874511846e-15,0.0007831095000143348,7.96793099518168e-07
FADD262,0.013626040878122634,4.7182466662784595e-29,1.2042234170934175e+54,0.00030922298756359514,1.2985942746743902e-06
PTHIO1,0.008327024981074942,4.7182466662784595e-29,5.1545032846094555e-06,0.00013427190694078632,6.002508317514378e-06
PTHIO5,0.003785011355034065,4.7182466662784595e-29,3.9868809499023545e-06,0.00016306297031802743,7.227283622462171e-06
PTTPDIM,0.10673732021196064,4.7182466662784595e-29,1.3317025998027075e+87,0.0006935883975967782,1.1697495948626823e-05
MMPL72,0.002271006813020439,4.7182466662784595e-29,0.0,0.0001405498444653335,6.577795154594874e-08
MMPL73,0.002271006813020439,4.7182466662784595e-29,0.0,0.00018965222029256165,6.577795154594874e-08
MMPL71,0.002271006813020439,4.7182466662784595e-29,0.0,0.00018965222029256165,6.577795154594874e-08
MMPL74,0.002271006813020439,4.7182466662784595e-29,0.0,0.00014054984446532402,6.577795154594874e-08
PPSD3,0.3792581377744133,4.7182466662784595e-29,1.1251788006623177e+93,0.0008717629295816187,6.511289992074744e-05
PPSD1,0.3792581377744133,4.7182466662784595e-29,1.1251788006623177e+93,0.000871763338705891,6.511289992074744e-05
PPSC4,0.3792581377744133,4.7182466662784595e-29,2.2503531818562865e+93,0.0007259559199333481,5.669651969004753e-05
FADD281,0.015897047691143074,4.7182466662784595e-29,1566884281067.3665,0.0003430819270881899,1.4644282748352128e-06
FADD283,0.05147615442846329,4.7182466662784595e-29,5.168835998120252e+34,0.0007905105884507768,7.248876420437399e-05
PDIMA,0.003785011355034065,4.7182466662784595e-29,0.0007294749156974744,0.000170100315128347,0.0007295419901499827
PTTDIM,0.10673732021196064,4.7182466662784595e-29,1.3317025998027075e+87,0.0006935883975967876,1.647655068983145e-05
PPSA4,0.19530658591975775,4.7182466662784595e-29,3.938824832150895e+93,0.0008823548803044054,5.120713729117853e-05
PPSA2,0.19303557910673733,4.7182466662784595e-29,3.938824832150179e+93,0.0009431426682632927,2.592733939019941e-05
PPSA3,0.19530658591975775,4.7182466662784595e-29,3.9388248321505364e+93,0.0008764790601060813,5.177614192601548e-05
PPSD2,0.3792581377744133,4.7182466662784595e-29,1.1251788006623177e+93,0.0008717633395165546,6.511289992074744e-05
PPSE7,0.07342922028766086,4.7182466662784595e-29,9.486033302461381,0.00016805091569016396,1.4600738752826142e-05
PTHIO4,0.008327024981074942,4.7182466662784595e-29,4.581004037743888e-06,0.00013421423876563556,5.4290217485698225e-06
PPSC3,0.3792581377744133,4.7182466662784595e-29,2.2503531818562865e+93,0.0007259556234522441,5.669651969004753e-05
MAS12,0.37017411052233157,4.7182466662784595e-29,7.886838458898575e+93,0.0008698232004660619,5.7516186594349275e-05
MAS10,0.3709311127933384,4.7182466662784595e-29,1.5773676917797153e+94,0.0008698232026655895,5.7773698382987404e-05
MAS11,0.37017411052233157,4.7182466662784595e-29,7.886838458898575e+93,0.0008698232004645074,5.7516186594349275e-05
PPSD4,0.3792581377744133,4.7182466662784595e-29,1.1251788006623177e+93,0.0008717629295883684,6.511289992074744e-05
PPSE8,0.07342922028766086,4.7182466662784595e-29,18.97206660358049,0.00016805091569018974,1.4600738752826142e-05
