,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,information_centrality,load_centrality
DHFR,0.24274809160305344,0.5305791818550021,0.0003457780081639925,0.0007940728564662592,0.02035516419534879,0.006241447438351337,0.00034570285680669605
HADA9,0.3267175572519084,0.5723023154215815,8.161185518970895e-06,0.00095394943293014,0.038429559480407334,0.006283469146489058,8.078225889926049e-06
UDPGALM,0.0022900763358778627,0.32774580935701775,1.433302821300213e-06,0.00016914823319366798,1.3964532643707297e-05,0.0015631624168265328,3.3605395280101755e-06
FABG21,0.23587786259541985,0.5284388866478419,1.557011049238634e-05,0.0007486835229662548,0.020027518699152494,0.0062368023537811455,1.555322765093893e-05
FABG20,0.23587786259541985,0.5284388866478419,1.557011049238634e-05,0.0007486835849070798,0.02002751845135156,0.0062368023541002834,1.5553227650938934e-05
NOR_syn,0.4847328244274809,0.6387128230131643,0.0013515675972098384,0.0014108247216368954,0.04755814444441797,0.006323221625068194,0.001335574091278603
MMAA41,0.3473282442748092,0.579133510167993,0.0013651491205124826,0.0011259922598044932,0.038610931225792296,0.00629058324658471,0.0013424502063393642
INSt2,0.233587786259542,0.5225368966892701,0.0016069041383952815,0.000841425380334961,0.019701434102143027,0.006234870455072875,0.001607252836345412
FDH,0.3137404580152672,0.554614733276884,0.0014470482510801823,0.0010522398961449232,0.02285871828933722,0.006278200366685389,0.0015002321283021256
GLYCTO1,0.024427480916030534,0.4373956594323873,0.00010933192659432351,0.00033579861333399237,0.0016023928250899083,0.0050399808305299715,0.0003032541358771197
UDPG4E,0.004580152671755725,0.40159411404046597,5.0524958725250955e-05,0.00019841552235604895,0.00012719091360047195,0.0025347042548952486,0.00019057930534139463
GLUSy,0.2732824427480916,0.5413223140495868,0.0008972201064617033,0.0008975822474234423,0.02207371595907617,0.0062595888630045445,0.0009185229875030626
ECHA191,0.3267175572519084,0.5723023154215815,2.897609812151978e-05,0.0009566473517277724,0.0383945460499311,0.006283467357349902,2.943491939272258e-05
