,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,load_centrality
GLYCLTt,0.0022900763358778627,8.473452835332594e-30,0.000650225392030511,0.00013903897675485302,0.000650225392030511
TRESULT,0.0053435114503816794,8.473452835331306e-30,2.4769697480894264e+23,0.0009044725546676297,1.564532957878105e-05
GLYALDDr,0.3152671755725191,8.473452835331306e-30,8.295560460811497e+114,0.0010738897512677275,0.00019520452983683812
CTFPP,0.0015267175572519084,8.473452835331306e-30,0.0,0.00015932445831647304,2.0695396737736214e-05
HOA,0.01984732824427481,8.473452835331306e-30,2.0695009221610677e+35,0.0005964397451765647,0.0006568572299583018
FRUpts2,0.01603053435114504,8.549790248262208e-30,0.0,0.0005033327221853202,0.0
GK1,0.33511450381679386,8.473452835331306e-30,3.2783409708762153e+112,0.0052396895746391545,0.020780041018589695
ILEabc,0.14427480916030533,8.473452835331306e-30,1.520299592212719e+67,0.0007008683165842261,2.382750486684552e-05
ILEabc_rev,0.14427480916030533,8.473452835331306e-30,7.601497961063595e+66,0.0007304082177877703,0.000673818580130312
CHOLCOA,0.004580152671755725,8.549790248262208e-30,0.0,0.0003628443870089729,0.0
THRabc_rev,0.14427480916030533,8.473452835331306e-30,7.600556681828096e+66,0.0007144693234711357,0.0006737555123489024
DGK1,0.025190839694656488,8.473452835331306e-30,1.2439461235495021e+30,0.0005018974359602919,2.159573574329683e-05
THRabc,0.1480916030534351,8.473452835331306e-30,1.5201113363656192e+67,0.0007004171815254147,0.0006472835072982612
ZNabc,0.14274809160305343,8.473452835331306e-30,1.5201113363656192e+67,0.0007000261601766074,2.3527689571140095e-05
ZNabc_rev,0.1435114503816794,8.473452835331306e-30,7.600556681828096e+66,0.0007006908708163178,0.0006737555289081557
TMDS3,0.32213740458015266,8.473452835331306e-30,6.3426361776196015e+68,0.00257020613719031,0.002284178821713656
RBK,0.02748091603053435,8.473452835331306e-30,1.616307301298876e+28,0.00048635889157194496,0.0006351389874478924
HADA8,0.20916030534351146,8.473452835331306e-30,0.0,0.00016165680143635653,0.00015564018132119715
GLNS,0.08091603053435115,8.473452835331306e-30,5.469955222613117e+58,0.0013676497326658038,0.00016249354578389612
CAt4,0.0,0.0,0.0,0.00013375100571644895,0.0
DHFR,0.11374045801526718,8.473452835331306e-30,5.2122635084945214e+91,0.0008337754372090339,0.00043892149024782285
HADA9,0.20916030534351146,8.473452835331306e-30,0.0,0.00016165680143636225,0.00015564018132119715
UDPGALM,0.0022900763358778627,8.473452835331306e-30,0.0013035611545793833,0.0007092616171315107,0.001339769846391592
